BS_TXN_ID,VALUE_DATE,TXN_TYPE,BS_AMOUNT,CURRENCY,COUNTERPARTY,REFERENCE,BS_REF,GL_TXN_ID,TRADE_DATE,GL_AMOUNT,COST_CENTRE,GL_ACCOUNT,APPROVED_BY,VARIANCE_AMT,VARIANCE_PCT,STATUS,RISK_FLAG,RUN_DATE,CREATED_AT
BS-2024002,2024-01-30,DIVIDEND,2184821.52,EUR,Prime Broker X,REF-331148,,,,0.0,,,,2184821.52,100.0,MISSING_IN_LEDGER,HIGH,2026-02-28,2026-02-28T23:40:42.639666
,,,0.0,,,,,GL-ORPH-0009,2024-02-26,1740052.13,CC-400,20200,L.Chen,-1740052.13,,MISSING_IN_BANK,HIGH,2026-02-28,2026-02-28T23:40:42.639666
,,,0.0,,,,,GL-ORPH-0006,2024-02-05,1728733.73,CC-300,30300,M.Patel,-1728733.73,,MISSING_IN_BANK,HIGH,2026-02-28,2026-02-28T23:40:42.639666
BS-2024004,2024-02-05,SWIFT,1689606.78,USD,Prime Broker X,REF-201414,,,,0.0,,,,1689606.78,100.0,MISSING_IN_LEDGER,HIGH,2026-02-28,2026-02-28T23:40:42.639666
,,,0.0,,,,,GL-ORPH-0004,2024-02-09,1421016.74,CC-400,10100,L.Chen,-1421016.74,,MISSING_IN_BANK,HIGH,2026-02-28,2026-02-28T23:40:42.639666
,,,0.0,,,,,GL-ORPH-0003,2024-01-07,1252690.44,CC-400,10100,A.Kumar,-1252690.44,,MISSING_IN_BANK,HIGH,2026-02-28,2026-02-28T23:40:42.639666
BS-2024000,2024-03-22,WIRE TRANSFER,1232010.35,EUR,JPM Retail,REF-809570,,,,0.0,,,,1232010.35,100.0,MISSING_IN_LEDGER,HIGH,2026-02-28,2026-02-28T23:40:42.639666
BS-2024001,2024-03-10,DIVIDEND,1104913.96,USD,JPM Retail,REF-329258,,,,0.0,,,,1104913.96,100.0,MISSING_IN_LEDGER,HIGH,2026-02-28,2026-02-28T23:40:42.639666
,,,0.0,,,,,GL-ORPH-0007,2024-02-14,1079468.25,CC-200,20200,M.Patel,-1079468.25,,MISSING_IN_BANK,HIGH,2026-02-28,2026-02-28T23:40:42.639666
,,,0.0,,,,,GL-ORPH-0005,2024-02-04,1020199.67,CC-200,40400,A.Kumar,-1020199.67,,MISSING_IN_BANK,HIGH,2026-02-28,2026-02-28T23:40:42.639666
,,,0.0,,,,,GL-ORPH-0010,2024-03-29,680429.66,CC-400,30300,J.Smith,-680429.66,,MISSING_IN_BANK,HIGH,2026-02-28,2026-02-28T23:40:42.639666
,,,0.0,,,,,GL-ORPH-0001,2024-03-29,662958.31,CC-100,40400,L.Chen,-662958.31,,MISSING_IN_BANK,HIGH,2026-02-28,2026-02-28T23:40:42.639666
,,,0.0,,,,,GL-ORPH-0002,2024-02-21,649931.2,CC-100,20200,M.Patel,-649931.2,,MISSING_IN_BANK,HIGH,2026-02-28,2026-02-28T23:40:42.639666
BS-2024013,2024-02-28,CHECK,2342276.84,CHF,Counterparty A,REF-883300,BS-2024013,GL-9000013,2024-02-28,2463074.96,CC-100,40400,L.Chen,-120798.12,5.1573,MAJOR_VARIANCE,HIGH,2026-02-28,2026-02-28T23:40:42.639666
BS-2024010,2024-02-01,BOND SETTLE,2027540.18,CHF,JPM Treasury,REF-817870,BS-2024010,GL-9000010,2024-02-01,2141177.56,CC-100,50500,J.Smith,-113637.38,5.6047,MAJOR_VARIANCE,HIGH,2026-02-28,2026-02-28T23:40:42.639666
BS-2024003,2024-02-27,CHECK,42428.81,EUR,Prime Broker X,REF-456778,,,,0.0,,,,42428.81,100.0,MISSING_IN_LEDGER,HIGH,2026-02-28,2026-02-28T23:40:42.639666
,,,0.0,,,,,GL-ORPH-0008,2024-03-01,0.0,CC-400,10100,L.Chen,0.0,,MISSING_IN_BANK,HIGH,2026-02-28,2026-02-28T23:40:42.639666
